"common_name","species_name","sp","habitat_specif","body_size","diet","nest","stratum","frugivory","insectivory","lower_stratum"
"Sapphire-spangled Emerald","Amazilia lactea","Amazilia_lact","generalist",4.3,"nectarivorous","open_semi","all",0,10,30
"Turquoise-fronted Amazon","Amazona aestiva","Amazon_aest","generalist",400,"frugivorous","cavities","mid_canopy",50,0,30
"White-collared Foliage-gleaner","Anabazenops fuscus","Anabaz_fuscus","specialist",39,"insectivorous","cavities","ground_under",0,100,30
"Sombre-humminbird","Aphantochroa cirrochloris","Aphant_cirr","generalist",7.3,"nectarivorous","open_semi","all",0,10,80
"Slaty-breasted Wood-rail","Aramides saracura","Aramid_sarac","generalist",540,"onivorous","open_semi","ground_under",10,70,70
"Gray-necked Wood-Rail","Aramides cajaneus","Aramides_caj","generalist",435,"onivorous","open_semi","ground_under",10,50,50
"White-eyed Parakeet","Psittacara leucophthalmus","Arati_leuco","generalist",160,"frugivorous","cavities","mid_canopy",30,10,40
"Golden-capped Parakeet","Aratinga auricapillus","Aratin_auri","generalist",139.7,"frugivorous","cavities","mid_canopy",50,0,80
"Saffron-billed Sparrow","Arremon flavirostris","Arrem_flav","specialist",28.5,"insectivorous","closed","ground_under",40,30,100
"Half-collared Sparrow","Arremon semitorquatus","Arremon_sem","specialist",24.8,"insectivorous","closed","ground_under",40,30,100
"Rufous-tailed Attila","Attila phoenicurus","Attila_phoenicurus","specialist",34.5,"insectivorous","cavities","all",20,70,33
"Grey-hooded Attila","Attila rufus","Attila_rufus","specialist",43.4,"insectivorous","cavities","ground_under",20,60,50
"White-eyed Foliage gleaner","Automolus leucophthalmus","Autom_leuco","specialist",35.5,"insectivorous","cavities","ground_under",0,100,80
"Saffron Toucanet","Pteroglossus bailloni","Bailoni_Bailo","specialist",139,"frugivorous","cavities","mid_canopy",90,0,0
"Rufous-capped Motmot","Baryphthengus ruficapillus","Baryph_rufica","specialist",175,"onivorous","cavities","mid_canopy",20,60,70
"Golden-crowned Warbler","Basileuterus culicivorus","Basile_cul","specialist",10.3,"insectivorous","closed","ground_under",20,80,70
"White-browed Warbler","Myiothlypis leucoblephara","Basile_leuco","specialist",16.3,"insectivorous","closed","ground_under",0,100,100
"Flavescent Warbler","Myiothlypis flaveola","Basileu_flav","specialist",13,"insectivorous","closed","ground_under",0,100,100
